account,fear_realized_fills,greed_realized_fills,fear_pnl_per_realized_fill,greed_pnl_per_realized_fill,delta_greed_minus_fear,fear_win_rate,greed_win_rate
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,468,269,-51.794342438034114,1686.227948609666,1738.0222910477003,0.7735042735042735,0.6988847583643123
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,44,152,-103.79729609090913,375.79361168421053,479.59090777511966,0.6590909090909091,0.9539473684210527
0x430f09841d65beb3f27765503d0f850b8bce7713,24,507,233.96050424999999,694.2119142189367,460.25140996893674,1.0,1.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1387,3357,74.05195925811091,488.3417025633003,414.2897433051894,0.8745493871665465,0.7289246350908549
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,68,89,64.22224519117648,461.9097918426966,397.68754665152017,1.0,1.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,128,275,31.85638803906251,375.98355701818184,344.12716897911935,0.9609375,1.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,380,159,-151.1444333394737,172.70560872327053,323.85004206274425,0.5342105263157895,0.9308176100628931
0x39cef799f8b69da1995852eea189df24eb5cae3c,1561,93,-13.769682090967475,268.79725935483873,282.5669414458062,0.6265214606021781,0.9139784946236559
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,684,45,10.61312054239767,178.58054608888887,167.9674255464912,0.9444444444444444,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,49,181,178.60717242857137,326.4854590165745,147.87828658800314,1.0,1.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,40,852,70.11039724999999,145.27526554460096,75.16486829460096,0.825,0.9835680751173709
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,9315,8944,9.313246278905002,80.74809719644425,71.43485091753925,0.7468599033816425,0.829494633273703
0x2c229d22b100a7beb69122eed721cee9b24011dd,344,1038,44.75127488081395,106.90821132851639,62.156936447702435,0.7034883720930233,0.8265895953757225
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,620,2698,-7.30315853225808,38.48867040882138,45.79182894107946,0.7274193548387097,0.8421052631578947
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,951,5379,-12.87432957413252,25.878890614426517,38.75322018855904,0.8065194532071503,0.8657743074920989
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1634,2138,-3.6070317331701283,30.735402474742802,34.34243420791293,0.7986536107711139,0.775491113189897
0x4f93fead39b70a1824f981a54d4e55b278e9f760,636,1739,86.82451028616335,119.74764689649223,32.92313661032888,0.8962264150943396,0.9304197814836113
0x513b8629fe877bb581bf244e326a047b249c4ff1,2733,1306,108.32213546286087,124.84507269984675,16.522937236985882,0.8492499085254299,0.9134762633996937
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1789,5674,41.943607444382344,54.04727695875913,12.103669514376783,0.8865287870318613,0.9497708847373987
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,805,2930,17.323886072049685,28.290145164163793,10.966259092114107,0.9950310559006211,0.9795221843003413
0x8477e447846c758f5a675856001ea72298fd9cb5,751,4866,14.745398580559252,6.583409766748855,-8.161988813810396,0.8215712383488681,0.5538429921907111
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,871,157,315.166763657864,231.28257595541405,-83.88418770244996,0.7876004592422503,0.7070063694267515
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,492,61,697.9977768495922,354.9393817704921,-343.05839507910014,0.7540650406504065,1.0
0x271b280974205ca63b716753467d5a371de622ab,1062,310,44.09491092467044,-316.8601489000001,-360.95505982467057,0.9548022598870056,0.43870967741935485
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,910,817,509.3166179604395,143.07079237209294,-366.2458255883465,0.9626373626373627,0.9008567931456548
0x8170715b3b381dffb7062c0298972d4727a0a63b,662,1325,247.74354379154036,-286.2172162377359,-533.9607600292762,0.8489425981873112,0.6860377358490566
0x083384f897ee0f19899168e3b1bec365f52a9012,1088,399,1137.998868525734,592.5737701328317,-545.4250983929023,0.8943014705882353,0.38847117794486213
0x420ab45e0bd8863569a5efbb9c05d91f40624641,38,27,2871.2989641315794,596.3914292592593,-2274.90753487232,1.0,1.0
